,h2,ch4,c2h6,c2h4,c2h2,act
0,117,17,1,3,1,1
1,407,28,15,21,0.001,1
2,183,6,0.001,5,0.001,1
3,166,21,38,6,0.001,1
4,105,23,13,4,3,1
5,110,7,0.001,0.001,0.001,1
6,111.7,19.4,104.1,6.4,3.8,1
7,181.5,22,76,3.7,0.001,1
8,230,15.9,16.3,1.9,2.4,1
9,101,8.1,0.001,3,0.001,1
10,134,13,156,0.001,0.001,1
11,1549.2,10.2,0.001,53.19,0.001,1
12,1458,9,1812,0.001,0.001,1
13,195,5.3,0.001,0.001,0.001,1
14,197,12,6.6,15,0.001,1
15,106,4,2,1,0.001,1
16,109,4,11,9,0.001,1
17,109,16,0.001,0.001,0.001,1
18,116,14,134,5.3,0.001,1
19,100,18,0.001,0.001,0.001,1
20,113,21,48,0.001,4,1
21,103.5,4.7,16.3,3.5,0.001,1
22,160,24.7,38.5,0.001,0.001,1
23,134,13,267,0.001,0.001,1
24,235,16,0.001,35,0.001,1
25,187,5,1,0.001,0.001,1
26,121,3,1,0.001,0.001,1
27,2510,202,139,208,1730,2
28,109,19,5,12,59,2
29,135,27,24,9,13,2
30,174,27,6,12,29,2
31,179,29,10,17,33,2
32,142,17,4,7,38,2
33,595,32,4,18,65,2
34,720,7,0.001,15,101,2
35,163,26,7,19,133,2
36,153,18,9,0.001,278,2
37,111,2.8,47,0.001,27.5,2
38,124,14,4,0.001,13,2
39,143,5.8,16,10.6,26.3,2
40,137,6,11.4,6.4,16.5,2
41,102,6,6,7,10,2
42,115,25.5,110,12.2,8.6,2
43,169,38,48.5,6.5,5.8,2
44,186,38.3,13,37,85.9,2
45,151,13.5,50.7,5,9.2,2
46,716,7.1,3.3,20,6.8,2
47,716,7.1,33,20,6.8,2
48,476,28,27,36,148,2
49,289,13.4,18.2,49.8,36.3,2
50,3559,187,22,230,1140,2
51,4879,262,15,332,1827,2
52,4127,267,18,355,2060,2
53,843,133,12,168,385,2
54,137,33,8,29,111,2
55,315,60,14,93,218,2
56,818,94,49,121,978,2
57,500,97,193,40,121,2
58,119,8,20,0.001,21,2
59,205,20,8,0.001,6,2
60,119,8,23.3,7.9,12.3,2
61,256,8,37.4,15,21.1,2
62,153,18,9,0.001,11,2
63,301,5.78,4.7,9.7,5,2
64,208,7.6,27.5,9.7,14.4,2
65,254,5.2,0.001,9.3,88,2
66,385,28.8,50,82.3,171,2
67,225,4.7,0.001,8.7,89,2
68,179,39.3,64,654,168,2
69,47,9,4,16,81,3
70,84,6,1,14,86,3
71,629,402,16,298,1127,3
72,35,11,0.001,7,146,3
73,64,18,1,4,122,3
74,63,22,15,11,76,3
75,30,14,1,9,43,3
76,323,115,7,130,446,3
77,80,28,4,15,107,3
78,19,12,2,8,63,3
79,152,116,7,131,414,3
80,25,9,6,5,44,3
81,57,148,197,72,42,3
82,156,55,103,13,16,3
83,85,49,4,50,399,3
84,392,153,82,45,236,3
85,48,20,69,41,31,3
86,88,21.8,79.2,41.2,41.5,3
87,50,42,98,10,33,3
88,43,19,3,0.001,40,3
89,59,20,120,5.5,8.9,3
90,292,346,32,313,196,3
91,0.001,21,0.001,0.001,40,3
92,26.6,4,0.001,8,50,3
93,10,15,0.001,0.001,35,3
94,41,16,19,58,106,3
95,37,11.8,15.5,43.6,83.3,3
96,14.3,92.6,83.9,16.7,26.8,3
97,123,50.7,9,62,65.9,3
98,2,41,133,9,21,3
99,26,68,93,31,59,3
100,77,36,27,18,76,3
101,46,21,1,11,93,3
102,25,28,27,15,80,3
103,243,127,20,122,588,3
104,88,45,57,15,39,3
105,61,21,2,26,89,3
106,151,51,16,12,19,3
107,75,5,31,69,36,3
108,71,151,9,89,412,3
109,87,34,23,15,60,3
110,114,41,27,15,42,3
111,60,85,5,67,227,3
112,46,20,14,10,42,3
113,22,14,19,6,56,3
114,70,4,91,0.001,34,3
